Team,Conference,Gtm,Date,Location,Opp,Type,Rslt,Tm,Opp,OT,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF
wake-forest,ACC,10,12/3/24,@,Texas A&M,REG (Non-Conf),L,44,57,,17,60,0.283,6,28,0.214,11,32,0.344,0.333,4,7,0.571,14,17,31,10,10,4,14,16,19,49,0.388,5,22,0.227,14,27,0.519,0.439,14,17,0.824,11,29,40,12,10,1,18,12
wake-forest,ACC,11,12/7/24,,Boston College,REG (Conf),W,72,66,,21,47,0.447,5,13,0.385,16,34,0.471,0.5,25,34,0.735,6,25,31,12,9,2,8,16,21,57,0.368,12,30,0.4,9,27,0.333,0.474,12,14,0.857,9,22,31,16,3,1,14,24
wake-forest,ACC,12,12/17/24,,James Madison,REG (Non-Conf),W,75,58,,30,60,0.5,7,24,0.292,23,36,0.639,0.558,8,13,0.615,11,24,35,12,4,9,9,12,22,58,0.379,8,24,0.333,14,34,0.412,0.448,6,9,0.667,8,15,23,12,7,3,8,13
wake-forest,ACC,13,12/21/24,@,Clemson,REG (Conf),L,62,73,,25,50,0.5,3,13,0.231,22,37,0.595,0.53,9,12,0.75,4,26,30,5,10,1,18,17,24,61,0.393,10,31,0.323,14,30,0.467,0.475,15,16,0.938,7,21,28,17,11,3,12,12
wake-forest,ACC,14,12/31/24,@,Syracuse,REG (Conf),W,81,71,,26,60,0.433,9,19,0.474,17,41,0.415,0.508,20,26,0.769,8,23,31,13,11,5,10,24,21,56,0.375,5,22,0.227,16,34,0.471,0.42,24,32,0.75,13,25,38,8,5,3,18,23
wake-forest,ACC,15,1/4/25,,NC State,REG (Conf),W,77,59,,28,51,0.549,6,16,0.375,22,35,0.629,0.608,15,19,0.789,7,22,29,13,5,7,9,17,20,50,0.4,4,13,0.308,16,37,0.432,0.44,15,21,0.714,8,15,23,10,3,1,12,13
wake-forest,ACC,16,1/11/25,@,Miami (FL),REG (Conf),W,88,78,,35,64,0.547,8,23,0.348,27,41,0.659,0.609,10,12,0.833,6,18,24,13,9,3,9,17,25,62,0.403,11,35,0.314,14,27,0.519,0.492,17,21,0.81,15,22,37,17,7,5,14,15
wake-forest,ACC,17,1/15/25,,Stanford,REG (Conf),W,80,67,,29,58,0.5,3,11,0.273,26,47,0.553,0.526,19,24,0.792,9,19,28,8,8,3,6,12,24,54,0.444,8,24,0.333,16,30,0.533,0.519,11,14,0.786,5,21,26,15,4,2,12,22
wake-forest,ACC,18,1/18/25,@,Virginia Tech,REG (Conf),W,72,63,,26,57,0.456,6,19,0.316,20,38,0.526,0.509,14,17,0.824,4,21,25,8,6,2,7,18,21,52,0.404,6,19,0.316,15,33,0.455,0.462,15,19,0.789,8,25,33,9,2,2,12,15
wake-forest,ACC,19,1/21/25,,North Carolina,REG (Conf),W,67,66,,22,55,0.4,2,15,0.133,20,40,0.5,0.418,21,27,0.778,9,31,40,7,4,7,14,17,26,65,0.4,8,32,0.25,18,33,0.545,0.462,6,10,0.6,5,22,27,18,8,3,12,23
wake-forest,ACC,20,1/25/25,,Duke,REG (Conf),L,56,63,,19,51,0.373,3,18,0.167,16,33,0.485,0.402,15,23,0.652,2,24,26,12,8,3,10,19,21,57,0.368,9,32,0.281,12,25,0.48,0.447,12,17,0.706,12,31,43,14,4,6,16,22
